"Terminal name","Date","Shipping line","Shift (1/2)","Container Size","EBA (Y/N/D)","Notes"
"West Basin Container Terminal","2019-05-21","PABV","2nd","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","EGLV","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","CMDU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","COSU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","PSHI","1st","40' General","Y"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","HLCU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","COSU","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","COSU","1st","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","WHLU","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","ONEY","1st","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","Special Equipment","Y"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","WHLU","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","PABV","2nd","40' General","N"
"West Basin Container Terminal","2019-05-21","YMLU","1st","45' High Cube","D"
"West Basin Container Terminal","2019-05-21","YMLU","1st","Special Equipment","Y"
"West Basin Container Terminal","2019-05-21","PABV","2nd","20' General","N"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","20' Reefer","Y"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","20' General","N"
"West Basin Container Terminal","2019-05-21","MSCU","1st","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","MSCU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","PABV","1st","20' General","N"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","45' High Cube","D"
"West Basin Container Terminal","2019-05-21","EGLV","1st","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","COSU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","EGLV","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","PABV","1st","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","40' General","N"
"West Basin Container Terminal","2019-05-21","ONEY","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","MSCU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","YMLU","1st","20' Reefer","Y"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","PABV","2nd","40' Reefer","Y"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","WHLU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","ONEY","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","PABV","1st","40' General","N"
"West Basin Container Terminal","2019-05-21","PABV","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","20' General","N"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","40' General","N"
"West Basin Container Terminal","2019-05-21","COSU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","OOLU","1st","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","COSU","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","PABV","1st","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","WHLU","1st","40' General","Y"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","COSU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","PABV","1st","40' Reefer","Y"
"West Basin Container Terminal","2019-05-21","COSU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","COSU","2nd","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","COSU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","PSHI","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","ONEY","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","PSHI","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","40' Reefer","Y"
"West Basin Container Terminal","2019-05-21","MSCU","1st","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","PSHI","1st","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","CMDU","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","SUDU","1st","20' General","N"
"West Basin Container Terminal","2019-05-21","PSHI","1st","Special Equipment","Y"
"West Basin Container Terminal","2019-05-21","HLCU","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","EGLV","1st","40' General","Y"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","SUDU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","EGLV","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","OOLU","1st","20' General","N"
"West Basin Container Terminal","2019-05-21","OOLU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","ONEY","1st","40' General","Y"
"West Basin Container Terminal","2019-05-21","PABV","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","HLCU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","YMLU","1st","40' High Cube","D"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","PABV","2nd","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","CMDU","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","MSCU","1st","20' General","N"
"West Basin Container Terminal","2019-05-21","PABV","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","WHLU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","YMLU","1st","40' General","D"
"West Basin Container Terminal","2019-05-21","PSHI","1st","40' Reefer","Y"
"West Basin Container Terminal","2019-05-21","COSU","1st","40' General","Y"
"West Basin Container Terminal","2019-05-21","HLCU","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","20' Reefer","Y"
"West Basin Container Terminal","2019-05-21","WHLU","1st","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","40' General","D"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","20' General","N"
"West Basin Container Terminal","2019-05-21","PABV","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","WHLU","2nd","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","40' General","N"
"West Basin Container Terminal","2019-05-21","SUDU","1st","40' High Cube","N"
"West Basin Container Terminal","2019-05-21","WHLU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","ZIMU","2nd","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","20' General","N"
"West Basin Container Terminal","2019-05-21","ZIMU","1st","20' Reefer","Y"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","HLCU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","HLCU","1st","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","MSCU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","CMDU","1st","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","40' General","N"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","20' General","N"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","40' General","N"
"West Basin Container Terminal","2019-05-21","ONEY","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","YMLU","1st","40' Reefer","Y"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","40' Reefer","Y"
"West Basin Container Terminal","2019-05-21","MSCU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","ONEY","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","EGLV","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","PSHI","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","EGLV","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","COSU","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","YMLU","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","SUDU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","CMDU","1st","Special Equipment","N"
"West Basin Container Terminal","2019-05-21","MSCU","1st","40' General","N"
"West Basin Container Terminal","2019-05-21","OOLU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","45' High Cube","Y"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","Special Equipment","Y"
"West Basin Container Terminal","2019-05-21","CMDU","1st","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","COSU","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","40' General","Y"
"West Basin Container Terminal","2019-05-21","SUDU","1st","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","ONEY","1st","20' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","1st","40' General","N"
"West Basin Container Terminal","2019-05-21","PSHI","2nd","20' Reefer","N"
"West Basin Container Terminal","2019-05-21","YMLU","2nd","40' High Cube","D"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","20' General","Y"
"West Basin Container Terminal","2019-05-21","OOLU","1st","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","COSU","1st","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","HLCU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","SUDU","1st","45' High Cube","N"
"West Basin Container Terminal","2019-05-21","CMDU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","EGLV","2nd","40' High Cube","Y"
"West Basin Container Terminal","2019-05-21","SUDU","2nd","40' Reefer","N"
"West Basin Container Terminal","2019-05-21","HLCU","1st","40' General","Y"
"West Basin Container Terminal","2019-05-21","SUDU","1st","40' General","N"
"West Basin Container Terminal","2019-05-21","CMDU","1st","40' General","Y"
